epoch,step,test_loss,time_forward,train_loss,valid_loss
0,3,,,,15141.875
0,3,,0.994093656539917,14966.5693359375,
1,7,,,,13980.3671875
1,7,,0.9871506690979004,14087.451171875,
2,11,,,,12788.2197265625
2,11,,0.9870426654815674,13080.1064453125,
3,15,,,,12189.876953125
3,15,,0.9889953136444092,12216.70703125,
4,19,,,,11455.12890625
4,19,,0.9841821789741516,11613.689453125,
5,23,,,,10919.8720703125
5,23,,0.9824008941650391,11211.2861328125,
6,27,,,,10537.03125
6,27,,0.9877774715423584,10682.2685546875,
7,31,,,,10237.53125
7,31,,0.9899068474769592,10340.2607421875,
8,35,,,,10043.2841796875
8,35,,0.9886698722839355,10116.5185546875,
9,39,,,,9958.41796875
9,39,,0.9917489290237427,9951.873046875,
10,43,,,,9831.5595703125
10,43,,0.9872753024101257,9873.3916015625,
11,47,,,,9791.26953125
11,47,,0.9854889512062073,9796.564453125,
12,51,,,,9724.416015625
12,51,,0.9861563444137573,9708.669921875,
13,55,,,,9655.3837890625
13,55,,0.989149272441864,9654.98046875,
14,59,,,,9585.439453125
14,59,,0.9843275547027588,9588.3466796875,
15,63,,,,9553.5703125
15,63,,0.9855812191963196,9537.7724609375,
16,67,,,,9507.7001953125
16,67,,0.9868377447128296,9504.7783203125,
17,71,,,,9462.4326171875
17,71,,0.9901111721992493,9439.6201171875,
18,75,,,,9418.791015625
18,75,,0.9892302751541138,9388.6640625,
19,79,,,,9366.4580078125
19,79,,0.9857213497161865,9338.4091796875,
20,83,,,,9339.0849609375
20,83,,0.9927232265472412,9294.384765625,
21,87,,,,9336.91015625
21,87,,0.9888248443603516,9270.5712890625,
22,91,,,,9247.5703125
22,91,,0.985919713973999,9259.779296875,
23,95,,,,9307.939453125
23,95,,0.9885925054550171,9203.7392578125,
24,99,,,,9268.234375
24,99,,0.9888439774513245,9184.4755859375,
25,103,,,,9182.1923828125
25,103,,0.9857909083366394,9148.376953125,
26,107,,,,9176.4443359375
26,107,,0.9928215742111206,9110.013671875,
27,111,,,,9138.53125
27,111,,0.9865099191665649,9081.478515625,
28,115,,,,9090.41015625
28,115,,0.9903604388237,9054.150390625,
29,119,,,,9090.400390625
29,119,,0.9911860227584839,9013.4482421875,
30,123,,,,9048.6943359375
30,123,,0.9881466627120972,8995.2978515625,
31,127,,,,9018.7177734375
31,127,,0.9929242134094238,8958.1103515625,
32,131,,,,8990.974609375
32,131,,0.9919357895851135,8932.0966796875,
33,135,,,,8945.0888671875
33,135,,0.9895538687705994,8896.0537109375,
34,139,,,,8912.921875
34,139,,0.9900900721549988,8873.287109375,
35,143,,,,8888.5361328125
35,143,,0.9878746271133423,8828.2119140625,
36,147,,,,8863.818359375
36,147,,0.9872974753379822,8803.09765625,
37,151,,,,8819.98828125
37,151,,0.9892740249633789,8769.275390625,
38,155,,,,8787.2119140625
38,155,,0.9905151724815369,8731.923828125,
39,159,,,,8756.25
39,159,,1.0097578763961792,8702.966796875,
40,163,,,,8719.251953125
40,163,,0.998325526714325,8667.595703125,
41,167,,,,8691.12109375
41,167,,0.9894452095031738,8634.806640625,
42,171,,,,8653.0859375
42,171,,0.9884371161460876,8605.986328125,
43,175,,,,8624.8740234375
43,175,,0.9907956719398499,8571.4716796875,
44,179,,,,8590.505859375
44,179,,0.9865108132362366,8544.1142578125,
45,183,,,,8566.65625
45,183,,0.9886838793754578,8513.328125,
46,187,,,,8545.236328125
46,187,,0.9914440512657166,8484.8759765625,
47,191,,,,8485.9541015625
47,191,,0.9891301989555359,8461.6650390625,
48,195,,,,8472.345703125
48,195,,0.9868929386138916,8421.1787109375,
49,199,,,,8426.3984375
49,199,,0.9874317646026611,8398.5546875,
50,203,,,,8394.576171875
50,203,,0.9873998165130615,8364.9453125,
51,207,,,,8371.4951171875
51,207,,1.0096858739852905,8333.3740234375,
52,211,,,,8354.193359375
52,211,,0.99215167760849,8304.66796875,
53,215,,,,8330.3203125
53,215,,0.9890735745429993,8279.0537109375,
54,219,,,,8313.0361328125
54,219,,0.9884564876556396,8253.712890625,
55,223,,,,8296.650390625
55,223,,0.9883827567100525,8227.2041015625,
56,227,,,,8236.6064453125
56,227,,0.9878823757171631,8205.1552734375,
57,231,,,,8242.0029296875
57,231,,0.9945568442344666,8178.05029296875,
58,235,,,,8218.5458984375
58,235,,0.9892340898513794,8169.79248046875,
59,239,,,,8190.109375
59,239,,0.9897336363792419,8137.357421875,
60,243,,,,8180.048828125
60,243,,0.9883159399032593,8117.83447265625,
61,247,,,,8146.732421875
61,247,,0.9876014590263367,8093.30029296875,
62,251,,,,8117.22119140625
62,251,,0.9879093766212463,8080.09033203125,
63,255,,,,8114.53955078125
63,255,,0.9866687059402466,8056.470703125,
64,259,,,,8091.4990234375
64,259,,0.9884434342384338,8038.9931640625,
65,263,,,,8065.74658203125
65,263,,0.9894307255744934,8020.2783203125,
66,267,,,,8064.52197265625
66,267,,0.9886786937713623,8002.04443359375,
67,271,,,,8021.0556640625
67,271,,0.9840764403343201,7980.71728515625,
68,275,,,,8019.994140625
68,275,,0.9881716370582581,7956.92236328125,
69,279,,,,7980.7919921875
69,279,,0.9915651082992554,7940.45068359375,
70,283,,,,7983.14306640625
70,283,,0.9879001379013062,7922.474609375,
71,287,,,,7957.087890625
71,287,,0.9877333641052246,7899.1474609375,
72,291,,,,7922.2744140625
72,291,,0.9857785105705261,7880.396484375,
73,295,,,,7935.94189453125
73,295,,0.9871697425842285,7861.94580078125,
74,299,,,,7885.98095703125
74,299,,0.985899031162262,7843.78173828125,
75,303,,,,7873.6630859375
75,303,,1.024541974067688,7819.119140625,
76,307,,,,7844.0380859375
76,307,,1.0026050806045532,7806.55322265625,
77,311,,,,7832.15185546875
77,311,,0.9969061017036438,7781.099609375,
78,315,,,,7800.869140625
78,315,,0.9978001117706299,7759.376953125,
79,319,,,,7777.025390625
79,319,,0.9943950772285461,7733.82861328125,
80,323,,,,7746.9951171875
80,323,,0.9935802221298218,7712.33642578125,
81,327,,,,7725.4033203125
81,327,,0.9903267621994019,7686.1572265625,
82,331,,,,7726.06591796875
82,331,,0.9954450130462646,7670.0224609375,
83,335,,,,7687.2470703125
83,335,,0.9947982430458069,7653.2802734375,
84,339,,,,7671.7158203125
84,339,,0.9929606318473816,7627.8076171875,
85,343,,,,7650.67578125
85,343,,0.9918460845947266,7606.12548828125,
86,347,,,,7638.60986328125
86,347,,0.9931256771087646,7590.25244140625,
87,351,,,,7618.33984375
87,351,,0.9930483102798462,7574.0,
88,355,,,,7602.6455078125
88,355,,0.9924460649490356,7551.861328125,
89,359,,,,7606.8408203125
89,359,,0.9915679693222046,7538.70654296875,
90,363,,,,7605.48291015625
90,363,,0.9929277896881104,7528.04931640625,
91,367,,,,7565.494140625
91,367,,0.9951885342597961,7509.69482421875,
92,371,,,,7546.47265625
92,371,,0.992530345916748,7487.2275390625,
93,375,,,,7520.15966796875
93,375,,0.9943882822990417,7467.72900390625,
94,379,,,,7495.81103515625
94,379,,0.9940117001533508,7448.2265625,
95,383,,,,7477.69189453125
95,383,,0.9955449104309082,7427.63037109375,
96,387,,,,7447.81494140625
96,387,,0.9939275979995728,7407.87109375,
97,391,,,,7437.31494140625
97,391,,0.9897322058677673,7388.13134765625,
98,395,,,,7451.3583984375
98,395,,0.9950379729270935,7371.34130859375,
99,399,,,,7419.7880859375
99,399,,0.9956448674201965,7373.9765625,
100,403,,,,7384.5732421875
100,403,,0.9959276914596558,7345.69482421875,
101,407,,,,7386.37890625
101,407,,0.99183589220047,7335.244140625,
102,411,,,,7363.40087890625
102,411,,0.9934272766113281,7330.3642578125,
103,415,,,,7358.22705078125
103,415,,0.9926537871360779,7305.16015625,
104,419,,,,7349.89794921875
104,419,,0.9890196919441223,7305.9931640625,
105,423,,,,7343.92578125
105,423,,0.9940156936645508,7280.78564453125,
106,427,,,,7363.615234375
106,427,,0.9898651838302612,7272.39892578125,
107,431,,,,7324.19482421875
107,431,,0.9940862059593201,7268.611328125,
108,435,,,,7309.916015625
108,435,,0.994945228099823,7243.6103515625,
109,439,,,,7283.48583984375
109,439,,0.9945994019508362,7226.2431640625,
110,443,,,,7267.33056640625
110,443,,0.9940133094787598,7211.24658203125,
111,447,,,,7263.86376953125
111,447,,0.9974928498268127,7198.771484375,
112,451,,,,7253.1015625
112,451,,0.9927860498428345,7190.3720703125,
113,455,,,,7222.9541015625
113,455,,0.9927361011505127,7189.40869140625,
114,459,,,,7219.68505859375
114,459,,0.9933295249938965,7154.39306640625,
115,463,,,,7190.8154296875
115,463,,0.9927046298980713,7137.14306640625,
116,467,,,,7176.29345703125
116,467,,0.9926612377166748,7117.7314453125,
117,471,,,,7150.35400390625
117,471,,0.992544412612915,7100.578125,
118,475,,,,7174.1435546875
118,475,,0.9958006143569946,7083.90380859375,
119,479,,,,7125.2978515625
119,479,,0.9931161999702454,7089.68505859375,
120,483,,,,7117.39013671875
120,483,,0.9937007427215576,7055.8779296875,
121,487,,,,7098.095703125
121,487,,0.995479166507721,7049.5146484375,
122,491,,,,7085.98193359375
122,491,,0.9927909970283508,7029.96337890625,
123,495,,,,7073.42236328125
123,495,,0.9956347942352295,7019.24658203125,
124,499,,,,7063.095703125
124,499,,0.9976834654808044,7006.123046875,
125,503,,,,7056.9267578125
125,503,,0.9950975775718689,6991.91796875,
126,507,,,,7050.98583984375
126,507,,0.9920065402984619,6980.78466796875,
127,511,,,,7029.9990234375
127,511,,0.9941608309745789,6971.1435546875,
128,515,,,,7016.6171875
128,515,,0.9903854131698608,6951.8955078125,
129,519,,,,6995.294921875
129,519,,0.9958925843238831,6937.93212890625,
130,523,,,,6983.11376953125
130,523,,0.9897424578666687,6922.03271484375,
131,527,,,,6979.2109375
131,527,,0.9909252524375916,6910.8857421875,
132,531,,,,7007.07421875
132,531,,0.9921955466270447,6904.947265625,
133,535,,,,6946.7119140625
133,535,,0.9923813343048096,6889.98828125,
134,539,,,,6968.94189453125
134,539,,0.9941433668136597,6875.99462890625,
135,543,,,,6936.2587890625
135,543,,0.9972991347312927,6868.76513671875,
136,547,,,,6925.92822265625
136,547,,0.9917798042297363,6851.7568359375,
137,551,,,,6916.22021484375
137,551,,0.9910097718238831,6849.9716796875,
138,555,,,,6921.71435546875
138,555,,0.9940793514251709,6830.08203125,
139,559,,,,6906.80712890625
139,559,,0.9940962791442871,6822.296875,
140,563,,,,6892.52685546875
140,563,,0.9932659864425659,6812.50830078125,
141,567,,,,6892.43603515625
141,567,,0.9945844411849976,6799.8017578125,
142,571,,,,6875.1689453125
142,571,,0.991141140460968,6791.0703125,
143,575,,,,6851.20849609375
143,575,,0.9927176237106323,6775.77978515625,
144,579,,,,6851.15966796875
144,579,,0.9926086068153381,6766.08740234375,
145,583,,,,6837.916015625
145,583,,0.9892791509628296,6758.01953125,
146,587,,,,6808.94384765625
146,587,,0.9946382641792297,6741.232421875,
147,591,,,,6818.3798828125
147,591,,0.9920864701271057,6733.75830078125,
148,595,,,,6789.69921875
148,595,,0.9945528507232666,6719.66455078125,
149,599,,,,6764.72412109375
149,599,,0.9907177090644836,6704.93994140625,
150,603,,,,6763.23583984375
150,603,,1.0184749364852905,6693.94140625,
151,607,,,,6740.7822265625
151,607,,0.9911993145942688,6678.3837890625,
152,611,,,,6743.705078125
152,611,,0.986996591091156,6667.72314453125,
153,615,,,,6717.5458984375
153,615,,0.9847621321678162,6659.32275390625,
154,619,,,,6724.509765625
154,619,,0.986812949180603,6646.18896484375,
155,623,,,,6696.4912109375
155,623,,0.9839281439781189,6631.615234375,
156,627,,,,6683.658203125
156,627,,0.9841696619987488,6626.85205078125,
157,631,,,,6747.31201171875
157,631,,0.985308051109314,6620.17431640625,
158,635,,,,6677.81884765625
158,635,,0.9844601154327393,6611.869140625,
159,639,,,,6655.67919921875
159,639,,0.9819180965423584,6585.802734375,
160,643,,,,6638.22021484375
160,643,,0.9834097623825073,6572.8623046875,
161,647,,,,6628.07763671875
161,647,,0.9827730655670166,6557.7744140625,
162,651,,,,6619.56396484375
162,651,,0.9820414781570435,6544.595703125,
163,655,,,,6597.48095703125
163,655,,0.9853359460830688,6529.3134765625,
164,659,,,,6584.9765625
164,659,,0.9826639294624329,6513.09375,
165,663,,,,6572.048828125
165,663,,0.9855244159698486,6501.33544921875,
166,667,,,,6550.3310546875
166,667,,0.9849892854690552,6484.0693359375,
167,671,,,,6555.455078125
167,671,,0.981558620929718,6467.2568359375,
168,675,,,,6525.84912109375
168,675,,0.9822704195976257,6461.853515625,
169,679,,,,6521.89501953125
169,679,,0.9853958487510681,6443.626953125,
170,683,,,,6501.72998046875
170,683,,0.9849854707717896,6432.69482421875,
171,687,,,,6484.93701171875
171,687,,0.9813111424446106,6414.474609375,
172,691,,,,6464.06201171875
172,691,,0.9827381372451782,6400.8203125,
173,695,,,,6457.744140625
173,695,,0.9821788668632507,6384.36328125,
174,699,,,,6450.68505859375
174,699,,0.9844056367874146,6370.177734375,
175,703,,,,6436.25390625
175,703,,1.0068663358688354,6356.28271484375,
176,707,,,,6415.7685546875
176,707,,0.9906278252601624,6342.97412109375,
177,711,,,,6406.064453125
177,711,,0.9894843101501465,6334.67041015625,
178,715,,,,6402.251953125
178,715,,0.9925351142883301,6319.27001953125,
179,719,,,,6392.66162109375
179,719,,0.9904074668884277,6309.59033203125,
180,723,,,,6380.05615234375
180,723,,0.9913790225982666,6295.51513671875,
181,727,,,,6346.37109375
181,727,,0.9939823150634766,6279.42333984375,
182,731,,,,6377.80517578125
182,731,,0.9868782758712769,6276.28564453125,
183,735,,,,6350.2255859375
183,735,,0.9886795282363892,6278.82177734375,
184,739,,,,6322.5517578125
184,739,,0.9946935176849365,6253.22998046875,
185,743,,,,6320.95068359375
185,743,,0.9908811450004578,6234.8310546875,
186,747,,,,6290.95166015625
186,747,,0.9887806177139282,6225.42041015625,
187,751,,,,6294.748046875
187,751,,0.9918926358222961,6215.099609375,
188,755,,,,6298.88623046875
188,755,,0.9900902509689331,6198.07373046875,
189,759,,,,6272.02197265625
189,759,,0.9891161322593689,6187.7548828125,
190,763,,,,6258.22802734375
190,763,,0.9928215146064758,6173.30859375,
191,767,,,,6256.1328125
191,767,,0.9970933794975281,6161.91650390625,
192,771,,,,6223.34521484375
192,771,,0.9929947257041931,6150.29931640625,
193,775,,,,6222.1982421875
193,775,,0.9920002222061157,6135.89453125,
194,779,,,,6243.712890625
194,779,,0.9883891344070435,6131.796875,
195,783,,,,6242.00830078125
195,783,,0.9917722940444946,6133.19482421875,
196,787,,,,6230.283203125
196,787,,0.9912415146827698,6119.4853515625,
197,791,,,,6202.259765625
197,791,,0.9914397597312927,6108.31103515625,
198,795,,,,6206.1171875
198,795,,0.9916711449623108,6094.7158203125,
199,799,,,,6184.93115234375
199,799,,0.9915175437927246,6091.62255859375,
200,803,,,,6189.94921875
200,803,,0.9937608242034912,6075.17041015625,
201,807,,,,6172.173828125
201,807,,0.9958807229995728,6073.09619140625,
202,811,,,,6164.091796875
202,811,,0.9929654598236084,6057.2197265625,
203,815,,,,6144.962890625
203,815,,0.9916360378265381,6050.79833984375,
204,819,,,,6143.01806640625
204,819,,0.9901830554008484,6037.6884765625,
205,823,,,,6128.4970703125
205,823,,0.988807201385498,6028.5283203125,
206,827,,,,6120.9052734375
206,827,,0.9887411594390869,6017.88671875,
207,831,,,,6108.19384765625
207,831,,0.9904727935791016,6012.81591796875,
208,835,,,,6106.03955078125
208,835,,0.9927001595497131,5997.923828125,
209,839,,,,6090.2099609375
209,839,,0.9933844208717346,5996.052734375,
210,843,,,,6092.4326171875
210,843,,0.9925634264945984,5980.8017578125,
211,847,,,,6071.841796875
211,847,,0.9958038926124573,5974.2841796875,
212,851,,,,6074.02685546875
212,851,,0.9954067468643188,5960.38037109375,
213,855,,,,6073.36181640625
213,855,,0.994316041469574,5954.60107421875,
214,859,,,,6040.0087890625
214,859,,0.99310702085495,5945.78662109375,
215,863,,,,6049.02294921875
215,863,,0.9927119612693787,5931.1572265625,
216,867,,,,6021.27294921875
216,867,,0.991360068321228,5930.384765625,
217,871,,,,6020.4541015625
217,871,,0.992813229560852,5913.40673828125,
218,875,,,,6013.125
218,875,,0.9947612881660461,5905.5517578125,
219,879,,,,5999.5888671875
219,879,,0.9929521083831787,5895.17236328125,
220,883,,,,5999.56884765625
220,883,,0.9908856749534607,5887.44580078125,
221,887,,,,5977.53466796875
221,887,,0.9925060272216797,5879.4736328125,
222,891,,,,5975.9091796875
222,891,,0.9940255880355835,5870.123046875,
223,895,,,,5975.51513671875
