epoch,step,test_loss,time_forward,train_loss,valid_loss
47,191,,,,12003.8701171875
47,191,,1.1324559450149536,11553.708984375,
48,195,,,,11994.7158203125
48,195,,1.1333703994750977,11530.9462890625,
49,199,,,,11965.0712890625
49,199,,1.132145643234253,11510.978515625,
50,203,,,,11924.416015625
50,203,,1.1303110122680664,11504.27734375,
51,207,,,,11920.5087890625
51,207,,1.1296718120574951,11485.896484375,
52,211,,,,11938.990234375
52,211,,1.1309750080108643,11464.1416015625,
53,215,,,,11884.8896484375
53,215,,1.1381312608718872,11449.01171875,
54,219,,,,11850.1689453125
54,219,,1.1328706741333008,11434.34765625,
55,223,,,,11856.2373046875
55,223,,1.1305869817733765,11420.5283203125,
56,227,,,,11847.00390625
56,227,,1.1291534900665283,11400.4013671875,
57,231,,,,11826.5966796875
57,231,,1.137096881866455,11389.7109375,
58,235,,,,11796.671875
58,235,,1.1346243619918823,11371.958984375,
59,239,,,,11778.5244140625
59,239,,1.1366164684295654,11357.22265625,
60,243,,,,11776.8935546875
60,243,,1.1247245073318481,11342.326171875,
61,247,,,,11757.439453125
61,247,,1.138877272605896,11329.99609375,
62,251,,,,11744.2763671875
62,251,,1.136717438697815,11311.9482421875,
63,255,,,,11715.6748046875
63,255,,1.1394867897033691,11303.2099609375,
64,259,,,,11727.6103515625
64,259,,1.1229667663574219,11283.9931640625,
65,263,,,,11689.314453125
65,263,,1.131516456604004,11274.3369140625,
66,267,,,,11681.115234375
66,267,,1.128075122833252,11257.8525390625,
67,271,,,,11663.6572265625
67,271,,1.1370981931686401,11245.8095703125,
68,275,,,,11654.6103515625
68,275,,1.1312681436538696,11226.533203125,
69,279,,,,11624.857421875
69,279,,1.1308720111846924,11219.84375,
70,283,,,,11629.4296875
70,283,,1.1194860935211182,11198.376953125,
71,287,,,,11605.9453125
71,287,,1.1161415576934814,11189.6787109375,
72,291,,,,11589.931640625
72,291,,1.1255747079849243,11175.7197265625,
73,295,,,,11550.16796875
73,295,,1.1445119380950928,11158.525390625,
74,299,,,,11520.6298828125
74,299,,1.12689208984375,11145.455078125,
75,303,,,,11507.5341796875
75,303,,1.1284387111663818,11123.09375,
76,307,,,,11479.5615234375
76,307,,1.1337223052978516,11095.431640625,
77,311,,,,11472.84765625
77,311,,1.1214874982833862,11072.84765625,
78,315,,,,11429.732421875
78,315,,1.1266690492630005,11068.001953125,
79,319,,,,11486.4384765625
79,319,,1.129171371459961,11075.47265625,
80,323,,,,11416.646484375
80,323,,1.130289912223816,11063.79296875,
81,327,,,,11392.9931640625
81,327,,1.1300603151321411,11022.3017578125,
82,331,,,,11468.673828125
82,331,,1.1360323429107666,11010.634765625,
83,335,,,,11370.6552734375
83,335,,1.128994345664978,11049.4228515625,
84,339,,,,11369.236328125
84,339,,1.1326627731323242,11022.802734375,
85,343,,,,11338.3076171875
85,343,,1.1282389163970947,10978.1044921875,
86,347,,,,11443.9140625
86,347,,1.122409701347351,10957.986328125,
87,351,,,,11364.1416015625
87,351,,1.1365904808044434,10992.4755859375,
88,355,,,,11381.4775390625
88,355,,1.1150087118148804,10948.96484375,
89,359,,,,11501.8720703125
89,359,,1.1151702404022217,10968.8369140625,
90,363,,,,11457.154296875
90,363,,1.1172150373458862,11027.5478515625,
91,367,,,,11322.1376953125
91,367,,1.1224056482315063,10994.8798828125,
92,371,,,,11296.935546875
92,371,,1.125404953956604,10953.5107421875,
93,375,,,,11277.4482421875
93,375,,1.1337637901306152,10919.732421875,
94,379,,,,11244.498046875
94,379,,1.1262706518173218,10904.96484375,
95,383,,,,11225.3984375
95,383,,1.130031704902649,10892.3642578125,
96,387,,,,11238.9521484375
96,387,,1.1297975778579712,10867.634765625,
97,391,,,,11219.587890625
97,391,,1.1261003017425537,10857.9580078125,
98,395,,,,11199.7333984375
98,395,,1.1348466873168945,10850.5927734375,
99,399,,,,11186.3212890625
99,399,,1.1398156881332397,10838.85546875,
100,403,,,,11178.8291015625
100,403,,1.1344465017318726,10833.611328125,
101,407,,,,11175.9658203125
