epoch,step,time_forward,train_loss,valid_loss
0,6,,,10731.0400390625
0,6,0.811418354511261,10592.84765625,
1,13,,,10488.9921875
1,13,0.8125007152557373,10206.373046875,
2,20,,,10437.7158203125
2,20,0.8163247108459473,10079.32421875,
3,27,,,10428.6376953125
3,27,0.8152210712432861,10052.7109375,
4,34,,,10419.7158203125
4,34,0.8166620135307312,10044.0458984375,
5,41,,,10413.396484375
5,41,0.8161630630493164,10031.0771484375,
6,48,,,10407.9208984375
6,48,0.8176477551460266,10024.638671875,
7,55,,,10405.9521484375
7,55,0.8152395486831665,10021.8828125,
8,62,,,10411.8779296875
8,62,0.8163602352142334,10020.7958984375,
9,69,,,10411.9521484375
9,69,0.816723108291626,10027.9580078125,
10,76,,,10406.998046875
10,76,0.8163654208183289,10022.673828125,
11,83,,,10407.876953125
11,83,0.8187809586524963,10020.7509765625,
12,90,,,10410.322265625
12,90,0.8173543214797974,10019.6376953125,
13,97,,,10413.92578125
13,97,0.815394937992096,10027.029296875,
14,104,,,10407.396484375
14,104,0.8139984607696533,10021.7216796875,
15,111,,,10408.7275390625
15,111,0.8202957510948181,10019.173828125,
16,118,,,10405.072265625
16,118,0.8191825151443481,10018.103515625,
17,125,,,10406.8740234375
17,125,0.8166561126708984,10020.19140625,
18,132,,,10404.74609375
18,132,0.8177670836448669,10019.2685546875,
19,139,,,10406.5078125
19,139,0.8148882985115051,10017.4599609375,
20,146,,,10411.1298828125
20,146,0.8199401497840881,10018.26953125,
21,153,,,10403.7802734375
21,153,0.8196621537208557,10017.4580078125,
22,160,,,10408.4736328125
22,160,0.8189772367477417,10018.505859375,
23,167,,,10401.419921875
23,167,0.8198729157447815,10017.9462890625,
24,174,,,10401.392578125
24,174,0.8172711730003357,10015.7158203125,
25,181,,,10404.587890625
25,181,0.8167778849601746,10015.021484375,
26,188,,,10403.73046875
26,188,0.8158037662506104,10015.5771484375,
27,195,,,10415.158203125
27,195,0.8177961707115173,10027.0751953125,
28,202,,,10445.0380859375
28,202,0.809127688407898,10029.94921875,
29,209,,,10424.18359375
29,209,0.818253219127655,10042.1435546875,
30,216,,,10412.7763671875
30,216,0.8175958395004272,10032.64453125,
31,223,,,10411.25
31,223,0.8237757682800293,10025.5166015625,
32,230,,,10433.423828125
32,230,0.8183525204658508,10025.8564453125,
33,237,,,10411.6240234375
33,237,0.81619793176651,10025.384765625,
34,244,,,10406.4716796875
34,244,0.8170591592788696,10019.951171875,
35,251,,,10408.580078125
35,251,0.8188082575798035,10019.2744140625,
36,258,,,10413.037109375
36,258,0.8187285661697388,10018.8779296875,
37,265,,,10406.900390625
37,265,0.8203374147415161,10018.453125,
38,272,,,10406.744140625
38,272,0.8160170316696167,10018.556640625,
39,279,,,10403.658203125
39,279,0.8185487985610962,10017.591796875,
40,286,,,10417.5498046875
40,286,0.8181228041648865,10020.001953125,
41,293,,,10407.48828125
41,293,0.819105863571167,10024.732421875,
42,300,,,10403.5
42,300,0.8151222467422485,10020.6240234375,
43,307,,,10406.923828125
43,307,0.8168346881866455,10018.2451171875,
44,314,,,10426.654296875
44,314,0.8199442625045776,10028.2021484375,
45,321,,,10420.9423828125
45,321,0.8161008358001709,10034.6201171875,
46,328,,,10418.025390625
46,328,0.8187689781188965,10030.1455078125,
47,335,,,10411.984375
47,335,0.8185423612594604,10025.611328125,
48,342,,,10403.40625
48,342,0.818422257900238,10023.208984375,
49,349,,,10419.154296875
49,349,0.8190757632255554,10022.111328125,
50,356,,,10406.23828125
50,356,0.8208731412887573,10022.76953125,
51,363,,,10407.3740234375
51,363,0.8170041441917419,10019.251953125,
52,370,,,10411.66015625
52,370,0.8192664384841919,10020.2861328125,
53,377,,,10404.2197265625
53,377,0.8188644051551819,10019.01171875,
54,384,,,10407.7470703125
54,384,0.8184980154037476,10016.4296875,
55,391,,,10405.89453125
55,391,0.8183180689811707,10017.9150390625,
56,398,,,10401.318359375
56,398,0.8190907835960388,10015.912109375,
57,405,,,10405.58203125
57,405,0.8168931007385254,10018.3154296875,
58,412,,,10405.56640625
58,412,0.8200687766075134,10019.173828125,
59,419,,,10408.01953125
59,419,0.8206374049186707,10017.7724609375,
60,426,,,10413.1982421875
60,426,0.8197547197341919,10018.9296875,
61,433,,,10402.1904296875
61,433,0.8224186301231384,10021.65625,
62,440,,,10408.41015625
62,440,0.8202060461044312,10017.296875,
63,447,,,10409.2138671875
63,447,0.8203238248825073,10023.337890625,
64,454,,,10409.162109375
64,454,0.8203920722007751,10020.5888671875,
65,461,,,10405.4755859375
65,461,0.8193069100379944,10018.0869140625,
66,468,,,10414.4638671875
66,468,0.8181483149528503,10022.84765625,
67,475,,,10413.6015625
67,475,0.8192266821861267,10023.779296875,
68,482,,,10424.9296875
68,482,0.8181415796279907,10024.6240234375,
69,489,,,10418.7607421875
69,489,0.8180832266807556,10022.29296875,
70,496,,,10405.9384765625
70,496,0.8198625445365906,10022.9873046875,
71,503,,,10404.0419921875
71,503,0.810407280921936,10021.0888671875,
72,510,,,10409.1103515625
72,510,0.8197315335273743,10019.34765625,
73,517,,,10408.1708984375
73,517,0.8220776319503784,10017.521484375,
74,524,,,10401.4404296875
74,524,0.8193398118019104,10016.9013671875,
75,531,,,10403.4404296875
75,531,0.8176195025444031,10016.765625,
76,538,,,10408.3056640625
76,538,0.820321261882782,10016.001953125,
77,545,,,10404.681640625
77,545,0.8176782727241516,10016.2744140625,
78,552,,,10409.7958984375
78,552,0.8193866610527039,10014.740234375,
79,559,,,10410.3115234375
79,559,0.819456160068512,10018.7216796875,
